Taxon	TaxID	Fragments	PropTotal	PropNonHost
Homo sapiens	9606	67	0.0001498670209791461	0.3641304347826087
Delftia tsuruhatensis	180282	31	6.934145746796313e-5	0.16847826086956522
Ralstonia insidiosa	190721	17	3.802596054694752e-5	0.09239130434782608
Pseudonocardia sp. HH130630-07	1690815	13	2.9078675712371634e-5	0.07065217391304347
Rhodoplanes sp. Z2-YC6860	674703	9	2.013139087779575e-5	0.04891304347826087
Bosea sp. AS-1	2015316	9	2.013139087779575e-5	0.04891304347826087
Geodermatophilus obscurus	1861	6	1.3420927251863832e-5	0.03260869565217391
Roseovarius indicus	540747	4	8.947284834575887e-6	0.021739130434782608
Stenotrophomonas maltophilia	40324	4	8.947284834575887e-6	0.021739130434782608
Luteimonas granuli	1176533	4	8.947284834575887e-6	0.021739130434782608
Pseudomonas putida	303	4	8.947284834575887e-6	0.021739130434782608
Streptomyces sp. W1SF4	2305220	4	8.947284834575887e-6	0.021739130434782608
Ralstonia pickettii	329	3	6.710463625931916e-6	0.016304347826086956
Prauserella marina	530584	3	6.710463625931916e-6	0.016304347826086956
Pseudoxanthomonas sp. X-1	2571115	2	4.473642417287944e-6	0.010869565217391304
Mixta calida	665913	2	4.473642417287944e-6	0.010869565217391304
Nocardiopsis alba	53437	2	4.473642417287944e-6	0.010869565217391304
