Taxon	TaxID	Fragments	PropTotal	PropNonHost
Pseudomonadaceae	135621	70	1.0215267797623286e-5	0.14
Comamonadaceae	80864	44	6.42102547279178e-6	0.088
Xanthomonadaceae	32033	30	4.377971913267123e-6	0.06
Propionibacteriaceae	31957	26	3.7942423248315067e-6	0.052
Nocardioidaceae	85015	25	3.6483099277226025e-6	0.05
Microbacteriaceae	85023	24	3.5023775306136984e-6	0.048
Streptomycetaceae	2062	23	3.3564451335047943e-6	0.046
Micrococcaceae	1268	22	3.21051273639589e-6	0.044
Pseudonocardiaceae	2070	18	2.6267831479602736e-6	0.036
Bradyrhizobiaceae	41294	17	2.4808507508513694e-6	0.034
Alcaligenaceae	506	15	2.1889859566335616e-6	0.03
Rhodobacteraceae	31989	14	2.0430535595246575e-6	0.028
Phyllobacteriaceae	69277	12	1.7511887653068492e-6	0.024
Methylobacteriaceae	119045	11	1.605256368197945e-6	0.022
Oxalobacteraceae	75682	11	1.605256368197945e-6	0.022
Mycobacteriaceae	1762	11	1.605256368197945e-6	0.022
Rhizobiaceae	82115	9	1.3133915739801368e-6	0.018
Boseaceae	2831100	9	1.3133915739801368e-6	0.018
Caulobacteraceae	76892	9	1.3133915739801368e-6	0.018
Nocardiaceae	85025	9	1.3133915739801368e-6	0.018
Sphingomonadaceae	41297	8	1.1674591768712327e-6	0.016
Halomonadaceae	28256	8	1.1674591768712327e-6	0.016
Erwiniaceae	1903409	7	1.0215267797623287e-6	0.014
Nocardiopsaceae	83676	5	7.296619855445205e-7	0.01
Aurantimonadaceae	255475	4	5.837295884356163e-7	0.008
Xanthobacteraceae	335928	4	5.837295884356163e-7	0.008
Burkholderiaceae	119060	4	5.837295884356163e-7	0.008
Dermabacteraceae	85020	4	5.837295884356163e-7	0.008
Micromonosporaceae	28056	4	5.837295884356163e-7	0.008
Tannerellaceae	2005525	4	5.837295884356163e-7	0.008
Parvibaculaceae	2813035	3	4.377971913267123e-7	0.006
Erythrobacteraceae	335929	3	4.377971913267123e-7	0.006
Acidiferrobacteraceae	1692041	3	4.377971913267123e-7	0.006
Kofleriaceae	224464	3	4.377971913267123e-7	0.006
Gordoniaceae	85026	3	4.377971913267123e-7	0.006
Paenibacillaceae	186822	3	4.377971913267123e-7	0.006
Deinococcaceae	183710	3	4.377971913267123e-7	0.006
Gemmatimonadaceae	219687	3	4.377971913267123e-7	0.006
Natrialbaceae	1644061	3	4.377971913267123e-7	0.006
Hyphomicrobiaceae	45401	2	2.9186479421780816e-7	0.004
Enterobacteriaceae	543	2	2.9186479421780816e-7	0.004
Cellulomonadaceae	85016	2	2.9186479421780816e-7	0.004
Actinopolymorphaceae	2805400	2	2.9186479421780816e-7	0.004
Corynebacteriaceae	1653	2	2.9186479421780816e-7	0.004
Dietziaceae	85029	2	2.9186479421780816e-7	0.004
