Taxon	TaxID	Fragments	PropTotal	PropNonHost
Cutibacterium acnes	1747	7969	0.000547219463845782	0.24179258450148675
Homo sapiens	9606	3444	0.0002364943949661028	0.10449663207718915
Pseudomonas stutzeri	316	889	6.104631739978671e-5	0.02697372413374598
Xanthomonas euvesicatoria	456327	615	4.223114195823265e-5	0.018660112870926632
Acinetobacter lwoffii	28090	393	2.69867297391633e-5	0.011924267249226288
Comamonas aquatica	225991	348	2.3896646181243838e-5	0.010558893136719462
Nocardiopsis alba	53437	238	1.6343108595218486e-5	0.007221311972813884
Corynebacterium kefirresidentii	1979527	213	1.4626395507485453e-5	0.006462770799198981
Pseudomonas aeruginosa	287	196	1.3459030607826989e-5	0.005946962801140846
Corynebacterium tuberculostearicum	38304	186	1.2772345372733775e-5	0.005643546331694884
Micrococcus luteus	1270	183	1.256633980220581e-5	0.005552521390861096
Staphylococcus warneri	1292	178	1.2222997184659205e-5	0.005400813156138115
Pseudonocardia autotrophica	2074	170	1.1673648996584633e-5	0.005158079980581346
Prauserella marina	530584	166	1.1398974902547349e-5	0.005036713392802961
Staphylococcus capitis	29388	165	1.1330306379038027e-5	0.005006371745858365
Pseudomonas putida	303	152	1.0437615573416849e-5	0.0046119303355786154
Nocardiopsis dassonvillei	2014	144	9.888267385342277e-6	0.004369197160021846
Hyphomicrobium nitrativorans	1427356	137	9.407587720777029e-6	0.004156805631409673
Halomonas sp. NyZ770	2883106	137	9.407587720777029e-6	0.004156805631409673
Egicoccus halophilus	1670830	130	8.926908056211779e-6	0.0039444141027975
Acidovorax sp. T1	1858609	125	8.583565438665171e-6	0.003792705868074519
Pseudonocardia sp. AL041005-10	445576	123	8.446228391646529e-6	0.0037320225741853267
Nocardiopsis sp. MT53	2865672	123	8.446228391646529e-6	0.0037320225741853267
Pseudonocardia sp. EC080625-04	1096868	119	8.171554297609243e-6	0.003610655986406942
Halomonas hydrothermalis	115561	104	7.141526444969423e-6	0.003155531282238
Acinetobacter baumannii	470	97	6.660846780404173e-6	0.0029431397536258267
Pseudonocardia sp. CGMCC 4.1532	2761535	96	6.592178256894852e-6	0.0029127981066812306
Staphylococcus epidermidis	1282	91	6.248835639348245e-6	0.00276108987195825
Cutibacterium granulosum	33011	87	5.974161545310959e-6	0.0026397232841798655
Corynebacterium kroppenstedtii	161879	85	5.8368244982923165e-6	0.002579039990290673
Nocardiopsis sp. HDS12	2831968	80	5.49348188074571e-6	0.002427331755567692
Paracoccus sp. Arc7-R13	2500532	76	5.2188077867084245e-6	0.0023059651677893077
Aquibium microcysteis	675281	75	5.150139263199103e-6	0.0022756235208447116
Severe acute respiratory syndrome-related coronavirus	694009	72	4.9441336926711386e-6	0.002184598580010923
Pseudonocardia sp. HH130630-07	1690815	70	4.8067966456524965e-6	0.0021239152861217306
Stenotrophomonas maltophilia	40324	70	4.8067966456524965e-6	0.0021239152861217306
Acinetobacter schindleri	108981	66	4.5321225516152106e-6	0.002002548698343346
Rhizobium leguminosarum	384	65	4.4634540281058895e-6	0.00197220705139875
Rhodoplanes sp. Z2-YC6860	674703	63	4.3261169810872466e-6	0.0019115237575095577
Finegoldia magna	1260	59	4.0514428870499615e-6	0.001790157169731173
Paracoccus yeei	147645	57	3.9141058400313186e-6	0.0017294738758419808
Sulfurifustis variabilis	1675686	57	3.9141058400313186e-6	0.0017294738758419808
Rhodopseudomonas palustris	1076	56	3.845437316521997e-6	0.0016991322288973845
Hydrogenophilus thermoluteolus	297	55	3.7767687930126756e-6	0.0016687905819527883
Aminobacter sp. MDW-2	2666139	53	3.6394317459940327e-6	0.001608107288063596
Microbacterium chocolatum	84292	52	3.5707632224847116e-6	0.001577765641119
Aquibium oceanicum	1670800	52	3.5707632224847116e-6	0.001577765641119
Pannonibacter phragmitetus	121719	52	3.5707632224847116e-6	0.001577765641119
Sphingomonas melonis	152682	51	3.50209469897539e-6	0.0015474239941744039
Pseudolabrys taiwanensis	331696	50	3.4334261754660687e-6	0.0015170823472298077
Pseudolabrys sp. FHR47	2562284	50	3.4334261754660687e-6	0.0015170823472298077
Acinetobacter junii	40215	50	3.4334261754660687e-6	0.0015170823472298077
Bradyrhizobium diazoefficiens	1355477	49	3.364757651956747e-6	0.0014867407002852114
Halomonas tianxiuensis	2497861	49	3.364757651956747e-6	0.0014867407002852114
Dietzia sp. DQ12-45-1b	912801	47	3.2274206049381047e-6	0.0014260574063960192
Pseudonocardia sp. HH130629-09	1641402	47	3.2274206049381047e-6	0.0014260574063960192
Pseudonocardia broussonetiae	2736640	46	3.158752081428783e-6	0.001395715759451423
Sphingobium yanoikuyae	13690	46	3.158752081428783e-6	0.001395715759451423
Pseudonocardia sp. DSM 110487	2865833	45	3.0900835579194617e-6	0.001365374112506827
Actinomarinicola tropica	2789776	45	3.0900835579194617e-6	0.001365374112506827
Agrobacterium tumefaciens	358	45	3.0900835579194617e-6	0.001365374112506827
Paracoccus marcusii	59779	45	3.0900835579194617e-6	0.001365374112506827
Halomonas sp. 18071143	2855441	43	2.952746510900819e-6	0.0013046908186176345
Polymorphum gilvum	991904	41	2.8154094638821762e-6	0.0012440075247284422
Brevundimonas sp. MF30-B	2561924	41	2.8154094638821762e-6	0.0012440075247284422
Glutamicibacter nicotianae	37929	40	2.746740940372855e-6	0.001213665877783846
Pseudorhodoplanes sinuspersici	1235591	40	2.746740940372855e-6	0.001213665877783846
Lactococcus lactis	1358	39	2.6780724168635337e-6	0.00118332423083925
Methylorubrum extorquens	408	39	2.6780724168635337e-6	0.00118332423083925
Acinetobacter nosocomialis	106654	39	2.6780724168635337e-6	0.00118332423083925
Diaphorobacter sp. JS3051	2792224	39	2.6780724168635337e-6	0.00118332423083925
Saccharopolyspora gregorii	33914	38	2.6094038933542122e-6	0.0011529825838946539
Saccharopolyspora erythraea	1836	38	2.6094038933542122e-6	0.0011529825838946539
Spiractinospora alimapuensis	2820884	38	2.6094038933542122e-6	0.0011529825838946539
Pseudomonas alcaliphila	101564	38	2.6094038933542122e-6	0.0011529825838946539
Propionibacterium phage PAC1	1690805	38	2.6094038933542122e-6	0.0011529825838946539
