Taxon	TaxID	Fragments	PropTotal	PropNonHost
Homo sapiens	9606	34185	0.0008734738226398181	0.6086530757589246
Pseudomonas stutzeri	316	931	2.3788331984135457e-5	0.016576159529956377
Micrococcus luteus	1270	786	2.00833823195816e-5	0.013994480548384225
Acinetobacter lwoffii	28090	503	1.2852342629452347e-5	0.008955755363660643
Comamonas aquatica	225991	411	1.0501615945735417e-5	0.0073177245615596905
Severe acute respiratory syndrome-related coronavirus	694009	344	8.789673686941565e-6	0.00612481082524704
Nocardiopsis alba	53437	270	6.898871789169252e-6	0.0048072643105136655
Pseudonocardia autotrophica	2074	189	4.829210252418476e-6	0.0033650850173595655
Prauserella marina	530584	167	4.267079958486167e-6	0.0029733819994658597
Pseudomonas putida	303	158	4.037117565513858e-6	0.0028131398557820707
Acidovorax sp. T1	1858609	151	3.858257926535396e-6	0.002688507077361346
Nocardiopsis sp. MT53	2865672	148	3.7816037955446268e-6	0.0026350930294667496
Pseudonocardia sp. AL041005-10	445576	147	3.7560524185477037e-6	0.002617288346835218
Pseudomonas aeruginosa	287	146	3.7305010415507806e-6	0.0025994836642036856
Nocardiopsis dassonvillei	2014	145	3.7049496645538575e-6	0.0025816789815721534
Egicoccus halophilus	1670830	142	3.628295533563088e-6	0.0025282649336775573
Ralstonia insidiosa	190721	135	3.449435894584626e-6	0.0024036321552568327
Halomonas hydrothermalis	115561	133	3.3983331405907797e-6	0.0023680227899937683
Halomonas sp. NyZ770	2883106	115	2.9384083546461626e-6	0.002047538502626191
Hyphomicrobium nitrativorans	1427356	110	2.8106514696615468e-6	0.0019585150894685303
Pseudonocardia sp. HH130630-07	1690815	110	2.8106514696615468e-6	0.0019585150894685303
Acinetobacter baumannii	470	105	2.6828945846769314e-6	0.0018694916763108698
Stenotrophomonas maltophilia	40324	99	2.5295863226953925e-6	0.0017626635805216772
Pseudonocardia sp. HH130629-09	1641402	97	2.478483568701546e-6	0.001727054215258613
Nocardiopsis sp. HDS12	2831968	95	2.4273808147076997e-6	0.0016914448499955488
Pseudolabrys taiwanensis	331696	85	2.171867044738468e-6	0.001513398023680228
Streptomyces albidoflavus	1886	84	2.146315667741545e-6	0.0014955933410486957
Acinetobacter seifertii	1530123	82	2.0952129137476984e-6	0.0014599839757856315
Sulfurifustis variabilis	1675686	81	2.0696615367507754e-6	0.0014421792931540996
Paracoccus sp. Arc7-R13	2500532	80	2.0441101597538523e-6	0.0014243746105225673
